restart,score,plaintext
0,-158.05796925088185,STATIONSPPVPZWSXPIHIYJSWJTHGFQN
6,-183.3123329305225,TABANQRTOOKODHTPONXNWITHIAXUGLR
8,-183.3123329305225,HXNXWGKHPPFPMYHUPWEWITHYTXEOLJK
7,-188.1736702327651,HEREUXZHMMWMVQHIMUKUBCHQCEKJNFZ
1,-215.15842251088048,TRORKGQTSSPSNWTZSKJKELTWLRJDCFQ
2,-215.15842251088048,NDLDFBYNZZQZJPNSZFOFVCNPCDOTRMY
3,-215.15842251088048,LUVUTJXLPPWPZGLOPTMTQFLGFUMAEYX
4,-215.15842251088048,HBIBENMHVVOVCFHPVEZEAYHFYBZXKWM
5,-215.15842251088048,BMJMUCWBLLHLGYBZLUVUTNBYNMVXQKW
9,-215.15842251088048,CAGAPOJCQQLQHSCDQPFPUZCSZAFEKMJ
