generation,score,plaintext
0,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
1,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
2,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
3,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
4,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
5,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
6,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
7,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
8,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
9,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
10,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
11,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
12,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
13,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
14,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
15,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
16,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
17,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
18,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
19,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
20,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
21,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
22,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
23,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
24,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
25,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
26,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
27,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
28,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
29,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
30,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
31,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
32,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
33,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
34,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
35,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
36,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
37,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
38,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
39,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
40,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
41,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
42,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
43,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
44,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
45,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
46,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
47,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
48,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
49,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
50,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
51,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
52,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
53,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
54,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
55,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
56,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
57,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
58,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
59,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
60,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
61,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
62,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
63,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
64,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
