restart,score,plaintext
0,-215.15842251088048,POHLVSPFUJEWKSTFSHXEFQGLHAAJPHP
1,-215.15842251088048,NHOZSJNAPUYQFJIAJOGYAKWZODDUNON
2,-188.1736702327651,EDRQOXEFTHUSPXGFXRBUFIYQRZZHERE
3,-151.11947865596866,ECRPZLEQNHAXBLUQLRWAQYMPRTTHERE
4,-215.15842251088048,LVINQGLRKEWUPGDRGIBWRAFNIZZELIL
5,-188.1736702327651,EKRNJAELWHQMBAYLARGQLPONRDDHERE
6,-215.15842251088048,JMPRYTJAZGOFKTCATPQOADERPXXGJPJ
7,-215.15842251088048,UPRLWVUXZFICAVDXVRGIXQYLRKKFURU
8,-151.11947865596866,ENRBIOEZAHWKQODZORCWZYVBRTTHERE
9,-208.05796925088183,RUJZVNRCAPTIONMCNJLTCYWZJBBPRJR
10,-151.11947865596866,EVRGNOEAFHMSZOWAORLMABQGRTTHERE
11,-208.05796925088183,YKOIBDYVMPLSJDEVDOWLVRTIONNPYOY
12,-215.15842251088048,FSTICMFXWEBRYMGXMTVBXOJITAAEFTF
13,-215.15842251088048,MGQVKBMZJRDXYBAZBQWDZETVQOORMQM
14,-188.1736702327651,ENRGLYESPHIWUYDSYRKISCXGRAAHERE
15,-188.1736702327651,EDRPYVEFWHQZIVMFVRKQFXSPRJJHERE
16,-163.3123329305225,BARHOMBWKXPGUMYWMRLPWITHREEXBRB
17,-188.1736702327651,EWRQYMEXJHSPVMUXMRBSXIOQRCCHERE
18,-208.05796925088183,UAHDRNUGQLTIONJGNHMTGSYDHXXLUHU
19,-208.1042309340841,HSFJKTHERCQBYTVETFLQEAPJFNNCHFH
20,-215.15842251088048,GZMSJBGNVXKLCBFNBMHKNYRSMAAXGMG
21,-215.15842251088048,JCNDXWJMTZOYGWKMWNSOMERDNFFZJNJ
22,-208.05796925088183,DWQNJRDTZSMUXRFTRQYMTIONQBBSDQD
23,-215.15842251088048,MPRXUAMEIGWLNAQEARSWEKCXRBBGMRM
24,-151.11947865596866,ENRVSMEPDHFBWMCPMROFPXKVRTTHERE
25,-215.15842251088048,FXEQVIFNWBMZYIANIEGMNPJQEKKBFEF
26,-215.15842251088048,TCZVLDTNMHPOYDWNDZEPNXQVZSSHTZT
27,-201.16984594358394,FDUVZXFIGHTYBXSIXUJTIONVUAAHFUF
28,-215.15842251088048,SXTJFYSHENZQOYPHYTMZHVUJTDDNSTS
29,-215.15842251088048,QSINEKQBRFTZVKYBKICTBWMNIJJFQIQ
