restart,score,plaintext
3,-151.11947865596866,ECRPZLEQNHAXBLUQLRWAQYMPRTTHERE
8,-151.11947865596866,ENRBIOEZAHWKQODZORCWZYVBRTTHERE
10,-151.11947865596866,EVRGNOEAFHMSZOWAORLMABQGRTTHERE
24,-151.11947865596866,ENRVSMEPDHFBWMCPMROFPXKVRTTHERE
34,-151.11947865596866,EBRVZUECFHGQAUSCURNGCWYVRTTHERE
35,-151.11947865596866,EJRLZWEDPHFONWUDWRMFDVBLRTTHERE
65,-151.11947865596866,EQRNSKEGJHCDFKPGKRLCGIONRTTHERE
95,-151.11947865596866,EFROPGEQKHZMYGCQGRWZQXLORTTHERE
116,-151.11947865596866,ENRJQLEMYHAUDLGMLRFAMKBJRTTHERE
138,-151.11947865596866,EDRNPVEMKHWAIVBMVRZWMLCNRTTHERE
153,-151.11947865596866,EPRNCQEOZHXDBQLOQRKXOVMNRTTHERE
229,-151.11947865596866,EDRVFBEPJHIZSBLPBRNIPUKVRTTHERE
232,-151.11947865596866,EURPQDECZHBOYDGCDRXBCIAPRTTHERE
271,-151.11947865596866,EJRZSFEIGHYUBFAIFRLYIONZRTTHERE
280,-151.11947865596866,EXRNDUEGVHQFYUMGURAQGIONRTTHERE
300,-151.11947865596866,EORIWJELDHAPVJNLJRFALBCIRTTHERE
305,-151.11947865596866,EPRMLIEAUHVKXIGAIRCVAFJMRTTHERE
307,-151.11947865596866,EWRQJUEYCHLMXUVYURDLYOZQRTTHERE
317,-151.11947865596866,EFRDACENMHUKPCQNCRGUNISDRTTHERE
338,-151.11947865596866,EXRAVOEPGHBNCOUPORMBPDWARTTHERE
355,-151.11947865596866,EIRGSPEULHDBAPXUPRFDUNVGRTTHERE
357,-151.11947865596866,ESRYGIEBPHXZVIDBIROXBUAYRTTHERE
390,-151.11947865596866,EJRLGSEBPHXYMSZBSRQXBFCLRTTHERE
404,-151.11947865596866,ECRLIWEDKHZGSWXDWRFZDVALRTTHERE
408,-151.11947865596866,EZRJNPEGIHKWLPAGPROKGFDJRTTHERE
444,-151.11947865596866,ESRBXDEVCHKMLDUVDRAKVFYBRTTHERE
479,-151.11947865596866,ECRFVMEIJHNBOMXIMRUNIDLFRTTHERE
487,-151.11947865596866,EURGLCEOPHIJZCYOCRKIONMGRTTHERE
16,-163.3123329305225,BARHOMBWKXPGUMYWMRLPWITHREEXBRB
165,-163.3123329305225,GSRHAQGWVLPXJQUWQRCPWITHREELGRG
97,-176.25814135372607,YUBRZFYTKPIOQFSTFBWITHERBCCPYBY
248,-176.25814135372607,BQREULBIDZWVCLSILROWITHERKKZBRB
273,-176.25814135372607,FXRENLFIAMWJSLBILRZWITHERYYMFRF
348,-176.25814135372607,KUBRSZKTAVIXFZPTZBWITHERBLLVKBK
44,-176.2581413537261,BXCVGEBDOWITHERDECUIDAQVCLLWBCB
83,-176.2581413537261,VSMQDNVWITHERNJWNMOHWCXQMGGTVMV
87,-176.2581413537261,NDGSAENBMWITHERBEGKIBZYSGPPWNGN
161,-176.2581413537261,IKMJFWITHERCNWSTWMLRTUVJMYYEIMI
182,-176.2581413537261,TLYFWITHERPQZICHIYSPHVOFYNNRTYT
228,-176.2581413537261,LKSFCRLNWITHERJNRSBTNPDFSUUILSL
242,-176.2581413537261,RWITHERGLXSVZEFGEIMSGUKTIBBXRIR
250,-176.2581413537261,EFWITHERPNVJMHXRHWUVRLZIWBBNEWE
318,-176.2581413537261,HOGWITHERVNZKTFETGCNEAXWGPPVHGH
347,-176.2581413537261,UMQDNZUWITHERZCWZQSHWKLDQAATUQU
374,-176.2581413537261,TBGOWITHERUZPIFHIGKUHXAOGSSRTGT
387,-176.2581413537261,IUGNLWITHERDSWCTWGKRTXONGFFEIGI
427,-176.2581413537261,AKNOPUAWITHERUMWUNYHWGXONZZTANA
438,-176.2581413537261,LPOXJELSYWITHERSEODISCAXOGGWLOL
439,-176.2581413537261,WITHERWJAODNFRZJRTSDJXPHTVVOWTW
465,-176.2581413537261,TCAMWITHERVNPISHIAZVHQYMAKKRTAT
472,-176.2581413537261,VXIDQWVEZMHULWSEWITHERADINNMVIV
38,-183.3123329305225,XNWQEGXHUCTBVGJHGWITHFYQWMMCXWX
90,-183.3123329305225,SGHTMYSVNXPDUYQVYHOPVWITHEEXSHS
96,-183.3123329305225,RXMDKSRICUWGASNISMJWITHDMQQURMR
112,-183.3123329305225,XFTIJBXRZLCDSBGRBTMCROWITHHLXTX
118,-183.3123329305225,XGVNOEXTUPIJZEYTEVWITHKNVSSPXVX
160,-183.3123329305225,CJZHPFCWEYVMAFXWFZSVWITHZLLYCZC
193,-183.3123329305225,GXHTPUGAFORSVUCAUHMRAWITHJJOGHG
236,-183.3123329305225,GPXCBJGIDAWOFJRIJXSWITHCXQQAGXG
245,-183.3123329305225,SNLDXKSTABIMRKZTKLWITHODLGGBSLS
253,-183.3123329305225,ZGWEYFZHCNTQPFSHFWITHADEWVVNZWZ
312,-183.3123329305225,UOWSRKUHADTLVKYHKWITHGMSWFFDUWU
329,-183.3123329305225,RLWXFZRHUQTMAZVHZWITHKPXWSSQRWR
333,-183.3123329305225,GKBMLJGTZPIONJCTJBWITHUMBRRPGBG
342,-183.3123329305225,RXDAZKRIBCWQOKLIKDUWITHADFFCRDR
49,-183.31233293052253,SXWITHSKNEOLGHJKHWQOKFZIWCCESWS
56,-183.31233293052253,WBMGOEWITHUVPEDIEMAUIFYGMKKHWMW
58,-183.31233293052253,GMTCEIGWYVPXKISWITHPWNFCTOOVGTG
76,-183.31233293052253,KOIYEWKDZMHSQWLDWITHDGJYICCMKIK
77,-183.31233293052253,KZMFAIKHQNDCWITHIMJDHOGFMXXNKMK
81,-183.31233293052253,DFLKXPDZSWITHPJZPLCIZBGKLEEWDLD
84,-183.31233293052253,MEZNDHMGYLWITHBGHZOWGJPNZVVLMZM
86,-183.31233293052253,CFVSLBCWITHDOBAWBVKHWUMSVRRTCVC
102,-183.31233293052253,UMHJATUIXOPYDTWITHZPILGJHRROUHU
111,-183.31233293052253,ICJNBWITHMZSGWATWJUZTPFNJEEMIJI
119,-183.31233293052253,WARUBDWITHJMFDQIDRCJIXOURVVHWRW
162,-183.31233293052253,IDCUPWITHZKYMWNTWCAKTQVUCBBZICI
218,-183.31233293052253,NKWITHNXQADFRHGXHWCDXOJIWBBANWN
224,-183.31233293052253,OUWITHONAYZDVHCNHWKZNXRIWGGYOWO
227,-183.31233293052253,GWITHLGVZCOKPLQVLIEOVBNTIFFCGIG
282,-183.31233293052253,WFNUYAWITHEGXACIANZEIDMUNKKHWNW
303,-183.31233293052253,KDIBCWKOPYHSVWROWITHOQUBIXXYKIK
324,-183.31233293052253,WOFVLJWITHAYXJGIJFZAIPSVFDDHWFW
344,-183.31233293052253,YPMULTYSZKEWITHSTMFESDXUMGGKYMY
379,-183.31233293052253,HOCWITHLJMRSYTALTCBRLKPWCXXMHCH
418,-183.31233293052253,JANOSFJEUWITHFKEFNYIEGQONDDWJNJ
454,-183.31233293052253,WITHMFWJASZKLFBJFTYZJCEHTGGSWTW
461,-183.31233293052253,WITHMKWYGBVAEKNYKTZVYSOHTFFBWTW
464,-183.31233293052253,ISAUYWITHDEQXWKTWARETCNUAVVDIAI
467,-183.31233293052253,GYPAUIGHEVODWITHIPBOHJSAPFFVGPG
482,-183.31233293052253,GQHRNTGIOJPCYTWITHXPIVFRHDDJGHG
496,-183.31233293052253,KAWITHKZSUBGRHDZHWFBZQJIWOOUKWK
2,-188.1736702327651,EDRQOXEFTHUSPXGFXRBUFIYQRZZHERE
5,-188.1736702327651,EKRNJAELWHQMBAYLARGQLPONRDDHERE
14,-188.1736702327651,ENRGLYESPHIWUYDSYRKISCXGRAAHERE
15,-188.1736702327651,EDRPYVEFWHQZIVMFVRKQFXSPRJJHERE
17,-188.1736702327651,EWRQYMEXJHSPVMUXMRBSXIOQRCCHERE
39,-188.1736702327651,ENROSBEIYHDMJBAIBRXDIWVORQQHERE
41,-188.1736702327651,EORSADEKZHMQVDFKDRUMKGPSRBBHERE
52,-188.1736702327651,EVRUZDEYPHGWMDNYDRFGYILURCCHERE
69,-188.1736702327651,EPRUAVEDLHMJFVKDVRSMDYWURGGHERE
75,-188.1736702327651,ELRIFDEKTHJOQDXKDRMJKNPIRUUHERE
115,-188.1736702327651,EFRMXNEIAHDWYNVINRGDISBMRZZHERE
129,-188.1736702327651,EQRGXVEFJHAIZVYFVRCAFNSGRUUHERE
136,-188.1736702327651,EPRCJMEFQHKVUMWFMRBKFONCRYYHERE
141,-188.1736702327651,EXRLFNEZMHUKQNVZNRAUZBDLRWWHERE
142,-188.1736702327651,EMRPZKEGOHBSLKWGKRQBGCNPRDDHERE
146,-188.1736702327651,EQRAFMEYWHLVOMIYMRSLYCDARNNHERE
151,-188.1736702327651,EFRNXQESIHCMDQKSQRLCSVBNRPPHERE
152,-188.1736702327651,EFRABDEUVHSOTDXUDRPSULKARQQHERE
186,-188.1736702327651,ECRIQVENGHPDFVBNVRSPNLAIRZZHERE
188,-188.1736702327651,EKRDXPEMGHFBVPZMPRNFMLCDROOHERE
200,-188.1736702327651,EYRDNGECWHZFJGKCGRXZCBIDRLLHERE
203,-188.1736702327651,EFROCMEKQHAWPMXKMRGAKDUORJJHERE
213,-188.1736702327651,EBRLQYEZXHDPKYCZYRWDZGNLRJJHERE
217,-188.1736702327651,EMRDSCEQJHFPYCIQCRBFQOZDRNNHERE
233,-188.1736702327651,EURYFBEVWHSICBQVBRJSVDKYRPPHERE
240,-188.1736702327651,ESRWJFEGKHQALFPGFRNQGBDWROOHERE
256,-188.1736702327651,ELROUWEDMHBCVWQDWRPBDNXORIIHERE
259,-188.1736702327651,EZRQPNECKHVBDNUCNRLVCIFQRGGHERE
261,-188.1736702327651,ENRGWKEPFHYJOKZPKRBYPCUGRSSHERE
263,-188.1736702327651,EJRUQSEDMHLVBSGDSRALDPIURKKHERE
275,-188.1736702327651,EIRYKDEOUHMXPDZODRFMOVJYRWWHERE
283,-188.1736702327651,EXROJYEKFHPIZYWKYRUPKVBORSSHERE
310,-188.1736702327651,EBRPKYEXDHOUWYQXYRIOXMFPRSSHERE
320,-188.1736702327651,EARGMBEKFHIZQBUKBRLIKPVGRWWHERE
323,-188.1736702327651,EVRNDBEIAHFUMBOIBRKFIWZNRPPHERE
