restart,score,plaintext
0,-158.05796925088185,STATIONSKKVKXHSLKIDIYGSHGTDCFQN
1,-183.3123329305225,WHYHQVNWAACAMIWDAQBQRTWITHBFJUN
2,-215.15842251088048,OVRVNBDOAAMAHYOJANWNTCOYCVWPUFD
3,-188.1736702327651,LYFYEJWLHHIHAKLPHEREDGLKGYRZVOW
4,-188.1736702327651,HEREUVXHWWSWYMHZWUGUKFHMFEGIJCX
5,-215.15842251088048,WFIFODNWAAPAXZWEAOBOQKWZKFBGSLN
6,-215.15842251088048,MOHOSCNMRRLRPIMVRSUSXAMIAOUDBZN
7,-188.1736702327651,HEREBQXHYYNYITHFYBJBAVHTVEJLPKX
8,-188.1736702327651,HEREAQFHYYDYCOHVYALAUNHONELWPBF
9,-215.15842251088048,REAEJNGRPPCPFBRWPJUJQIRBIEUMOSG
10,-215.15842251088048,FGKGXCZFBBABDMFSBXUXTNFMNGUIRPZ
11,-208.05796925088183,VIFIBZJVSSLSCYVQSBOBKTVYTIONAHJ
12,-215.15842251088048,HASAWUMHRRQRZXHCRWOWVKHXKAONJBM
13,-188.1736702327651,GYDYEAQGHHIHBPGVHEREXFGPFYRKZMQ
14,-215.15842251088048,WRNRXCTWFFPFJBWLFXMXSIWBIRMQEZT
15,-188.1736702327651,USQSEYFUHHIHWPUXHEREKDUPDSRCGNF
16,-151.11947865596866,XAVAEUYXHHDHMPXTHEREBFXPFARLCOY
17,-215.15842251088048,WOEOPJSWKKCKBFWMKPGPHXWFXOGYNAS
18,-215.15842251088048,HGCGWYLHEEDEBSHXEWVWNPHSPGVKOIL
19,-215.15842251088048,ELKLNGQECCJCFMEOCNRNWYEMYLRZAUQ
20,-215.15842251088048,ESKSFTNEOOXOCHEJOFVFBPEHPSVYUGN
21,-215.15842251088048,VQFQCZKVRRTRXMVDRCSCOWVMWQSGLPK
22,-183.3123329305225,WHPHFBKWVVZVYIWGVFUFCTWITHUEDLK
23,-188.1736702327651,HEREYVZHBBDBOLHGBYSYFAHLAESJUMZ
24,-208.05796925088183,OLDLBMQOGGSGTIONGBJBFYOIYLJXEWQ
