restart,score,plaintext
1,-151.11947865596866,EMRVGZEINHJSUZQIZRFJIOKVRTTHERE
3,-151.11947865596866,EJRMNPELCHIGBPSLPRVILAYMRTTHERE
4,-151.11947865596866,EIRYBXEFSHCQDXMFXROCFLPYRTTHERE
17,-151.11947865596866,ESRIUZEJOHLYFZNJZRQLJADIRTTHERE
27,-151.11947865596866,ECRQWPEZFHLYGPUZPRNLZOKQRTTHERE
28,-151.11947865596866,EVRSNZEYAHGIQZFYZRMGYKBSRTTHERE
32,-151.11947865596866,EURAXDEZGHLFJDQZDRNLZCWARTTHERE
65,-151.11947865596866,EURPBOEYWHCSQOJYORACYLVPRTTHERE
84,-151.11947865596866,EYROLAEZFHMVBASZARGMZDUORTTHERE
92,-151.11947865596866,EIROLJESXHFYBJKSJRCFSQZORTTHERE
102,-151.11947865596866,EPRQSFEZXHJNKFCZFRUJZVMQRTTHERE
103,-151.11947865596866,EORJBCEVKHUNPCIVCRSUVZFJRTTHERE
118,-151.11947865596866,EYRGIUEXKHOPNUMXURBOXJFGRTTHERE
165,-151.11947865596866,ENRIKVEZJHXOPVGZVRWXZQUIRTTHERE
183,-151.11947865596866,EFRGNCEQLHWZMCAQCRPWQYDGRTTHERE
254,-151.11947865596866,EPRKVNEBUHGQJNWBNRDGBFYKRTTHERE
260,-151.11947865596866,ENRSBVEXYHIWCVLXVRFIXGPSRTTHERE
273,-151.11947865596866,EURQKVEBZHFAPVCBVRSFBDOQRTTHERE
278,-151.11947865596866,EXRVQUEPKHJZAUDPURGJPIFVRTTHERE
285,-151.11947865596866,EDRLSIENOHFJXIVNIRMFNCWLRTTHERE
288,-151.11947865596866,ECRBLIESPHNOUIYSIRMNSKDBRTTHERE
316,-151.11947865596866,EPRLKIENUHSQZIONIRDSNMFLRTTHERE
332,-151.11947865596866,EMRNUFELQHXBSFYLFRKXLWCNRTTHERE
350,-151.11947865596866,EMRUDZEKYHGLNZQKZRPGKFXURTTHERE
358,-151.11947865596866,EVRGPXEWBHQZLXMWXROQWNIGRTTHERE
363,-151.11947865596866,ECRGOPEAXHNFUPZAPRBNAJIGRTTHERE
368,-151.11947865596866,EZRWGJEXOHVNAJQXJRUVXKYWRTTHERE
374,-151.11947865596866,EFRYLDEJZHNGUDVJDRPNJBSYRTTHERE
376,-151.11947865596866,ELRUOSEDVHAFMSWDSRZADJXURTTHERE
382,-151.11947865596866,EDRVOYEPJHKQSYCPYRXKPABVRTTHERE
415,-151.11947865596866,EWRPYNEAKHVBONSANRCVAFQPRTTHERE
416,-151.11947865596866,EORQWJEVIHMLNJFVJRPMVDBQRTTHERE
424,-151.11947865596866,EGRFZBEUJHOIPBVUBRDOUKAFRTTHERE
456,-151.11947865596866,EQRWYKEAFHUXDKMAKRNUALBWRTTHERE
457,-151.11947865596866,EPRCWGEYIHOSXGZYGRVOYLNCRTTHERE
470,-151.11947865596866,EFRSJKEDMHNWVKZDKRPNDXUSRTTHERE
473,-151.11947865596866,EARPVXESJHUIMXGSXRKUSCLPRTTHERE
486,-151.11947865596866,EMRXYWECSHJOUWPCWRLJCVKXRTTHERE
488,-151.11947865596866,EFRGNPEKVHBLOPCKPRDBKQZGRTTHERE
490,-151.11947865596866,EMROVNEULHBIKNJUNRQBUZYORTTHERE
70,-176.25814135372607,MKXRUAMTZYIDVAOTAXWITHERXCCYMXM
305,-176.25814135372607,PKREZSPIOLWDGSCISRMWITHERXXLPRP
322,-176.25814135372607,OYWNLKOHMXTQJKSHKWITHERNWCCXOWO
127,-176.2581413537261,HPCWITHERXMKQTAETCUMENFWCZZXHCH
195,-176.2581413537261,EOWITHERVUXNMHBRHWPXRGQIWLLUEWE
