restart,score,plaintext
0,-151.11947865596866,ZCSCEKVZHHJHIPZTHEREFGZPGCRLWAV
1,-215.15842251088048,EAKAYTIELLBLUMEOLYZYGQEMQAZSJXI
2,-183.31233293052253,NWJWITHNZZBZFONPZIDIASNOSWDXCRH
3,-215.15842251088048,JAUAOXDJQQZQKVJEQOGORCJVCAGINMD
4,-208.05796925088183,CDMDOLQCIIBIKACTIONOHXCAXDNPGFQ
5,-183.31233293052253,TRYRBDVTUUGUWITHUBZBFMTIMRZAJCV
6,-215.15842251088048,SBIBUMJSDDZDPASRDUEUFNSANBELGXJ
7,-215.15842251088048,JNXNVIKJCCACSUJZCVPVRQJUQNPLTBK
8,-215.15842251088048,QALADWXQJJPJNBQUJDSDOGQBGASZVYX
9,-156.3275806524071,HERECPDHWWLWITHGWCXCUFHTFEXJMBD
10,-215.15842251088048,HKQKCOLHXXBXSGHRXCZCWVHGVKZFDIL
11,-215.15842251088048,YFBFWETYNNJNGCYPNWOWHLYCLFOSMQT
12,-188.1736702327651,XLWLEDMXHHCHKVXIHEREFAXVALRJGZM
13,-208.05796925088183,TNLNFRVTSSKSMITXSFPFZOTIONPYQWV
14,-215.15842251088048,ELILYWHEQQVQFDEPQYGYJXEDXLGZBNH
15,-215.15842251088048,WNMNJTHWPPGPUBWZPJLJXQWBQNLYSKH
16,-215.15842251088048,UFIFZJDUVVQVTLURVZXZCYULYFXEOWD
17,-183.31233293052253,HGAGWITHQQEQZMHFQWKWCYHMYGKVDXT
18,-215.15842251088048,WBUBJECWZZQZVDWGZJSJAOWDOBSFMHC
19,-188.1736702327651,HEREPJOHYYQYWBHVYPLPDAHBAELCUNO
20,-208.2702992035826,QGIGHTLQPPCPBDQSPHVHARQDRGVYNXL
21,-208.05796925088183,FDUDIKBFPPCPMYFRPITIONFYNDTEJZB
22,-119.27338907561068,IDYDEUOIHHGHBWITHEREKLIWLDRXFNO
23,-215.15842251088048,PUBUIALPRRZRMNPORIDIQEPNEUDYSJL
24,-215.15842251088048,ZEDELYKZIIFIJWZMILQLOUZWUEQHCNK
25,-215.15842251088048,XAEABJUXZZDZTPXGZBKBLQXPQAKSHWU
26,-215.15842251088048,RNPNZQVRCCLCBMRFCZAZTYRMYNAKXWV
27,-188.1736702327651,LSYSEKULHHMHPOLBHEREWALOASRCDNU
28,-183.3123329305225,ZQAQEPUZBBOBLGZKBEWENYZGYQWITHU
29,-208.2702992035826,CAKAHBUCGGXGVDCIGHTHNFCDFATYZJU
30,-181.28554692546717,HEREJIGHTTNTMBHUTJSJPKHBKESOFLG
