restart,score,plaintext
48,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
117,-119.27338907561068,ILDLEBFIHHYHNWITHERESQIWQLRJGKF
168,-119.27338907561068,IVKVEUNIHHPHLWITHEREBYIWYVRDMGN
235,-119.27338907561068,IUQUELKIHHYHCWITHEREFDIWDUROBGK
434,-119.27338907561068,IKZKEFSIHHBHNWITHEREPYIWYKRDQAS
16,-151.11947865596866,XAVAEUYXHHDHMPXTHEREBFXPFARLCOY
29,-151.11947865596866,BJOJEPFBHHYHGVBTHEREWCBVCJRUASF
54,-151.11947865596866,FCVCEIWFHHYHNSFTHEREBQFSQCRMKXW
63,-151.11947865596866,NOPOEMVNHHGHZUNTHEREDFNUFORQJXV
64,-151.11947865596866,PAYAEKBPHHIHLXPTHEREJVPXVARFZQB
72,-151.11947865596866,SXAXEUISHHPHJGSTHEREKLSGLXROQWI
86,-151.11947865596866,ZXYXEAWZHHOHDNZTHEREUCZNCXRBPGW
101,-151.11947865596866,ZIFIEAPZHHOHUMZTHEREDBZMBIRYCJP
122,-151.11947865596866,MKZKEXNMHHDHAFMTHEREBPMFPKRSVUN
162,-151.11947865596866,WSCSEJXWHHQHVOWTHEREAFWOFSRYBLX
200,-151.11947865596866,AXDXEGYAHHCHNLATHEREZBALBXROIVY
208,-151.11947865596866,FSOSEBLFHHAHPIFTHEREMNFINSRCYDL
222,-151.11947865596866,ZCBCEFQZHHYHUDZTHERESAZDACRINXQ
264,-151.11947865596866,GMPMEUZGHHOHAXGTHERENDGXDMRBQYZ
276,-151.11947865596866,MGKGEFLMHHWHPDMTHEREVOMDOGRAQYL
278,-151.11947865596866,CQKQEPXCHHAHLOCTHEREJWCOWQRBSGX
296,-151.11947865596866,AXDXEQSAHHVHCKATHEREJBAKBXRWPLS
301,-151.11947865596866,BFKFELWBHHPHJSBTHEREVGBSGFRYOMW
356,-151.11947865596866,NJUJEYFNHHQHGINTHERELCNICJRSBPF
376,-151.11947865596866,WKVKEPZWHHLHYGWTHEREAFWGFKRXNSZ
377,-151.11947865596866,LOIOEVALHHZHBXLTHEREMGLXGORJSNA
394,-151.11947865596866,KVFVEULKHHNHQZKTHEREJOKZOVRCWBL
407,-151.11947865596866,VXGXELFVHHWHCZVTHEREKUVZUXRYODF
484,-151.11947865596866,PNANEDVPHHOHXLPTHEREMGPLGNRZCQV
115,-156.3275806524071,HEREPFSHWWNWITHUWPOPYMHTMEOXJKS
252,-156.3275806524071,HEREWITHOOKOUXHPOWZWVMHXMEZYSBT
281,-156.3275806524071,HEREZBAHWWVWITHMWZPZOXHTXEPYKUA
308,-156.3275806524071,HEREWJGHNNONXUHSNWBWITHUTEBVYZG
318,-156.3275806524071,HEREVDPHWWAWITHGWVNVXJHTJENMUBP
329,-156.3275806524071,HEREDYVHWWKWITHPWDSDNCHTCESUJZV
358,-156.3275806524071,HEREZXBHWWUWITHGWZMZYOHTOEMFNCB
378,-156.3275806524071,HEREACGHWWZWITHJWAMAPLHTLEMYKXG
420,-156.3275806524071,HERECYJHWWOWITHUWCQCMZHTZEQBLAJ
451,-156.3275806524071,HEREWITHOOFOKMHNOWZWXCHMCEZGJVT
